C:\Simcenter\Testxpress\ProjectData\BMW_GS_Test_260907\Data\Down_128.xdf,07.09.26,13:55:01,,,
,M4: Comp_Name_plate_x : SORD(C1,R1) Time[s],M4: Comp_Name_plate_x : SORD(C1,R1) [g],M5: Comp_Name_plate_x : LEVEL(C1) Time[s],M5: Comp_Name_plate_x : LEVEL(C1) [g],M6: Comp_Name_plate_y : SORD(C2,R1) Time[s],M6: Comp_Name_plate_y : SORD(C2,R1) [g],M7: Comp_Name_plate_y : LEVEL(C2) Time[s],M7: Comp_Name_plate_y : LEVEL(C2) [g],M8: Comp_Name_plate_z : SORD(C3,R1) Time[s],M8: Comp_Name_plate_z : SORD(C3,R1) [g],M9: Comp_Name_plate_z : LEVEL(C3) Time[s],M9: Comp_Name_plate_z : LEVEL(C3) [g],M10: LEVEL(R1) Time[s],M10: LEVEL(R1) [rpm]
Unit,s,g,s,g,s,g,s,g,s,g,s,g,s,rpm
Sensor,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,Tacho1
PointDir,,'',,'',,'',,'',,'',,'',,''
Info1,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,
,1.593750000,0.000000000,1.593750000,0.005282284,1.593750000,0.000000000,1.593750000,0.003486835,1.593750000,0.000000000,1.593750000,0.009937047,1.593750000,0.000000000
,1.609375000,0.000000000,1.609375000,0.005205816,1.609375000,0.000000000,1.609375000,0.003401772,1.609375000,0.000000000,1.609375000,0.009909726,1.609375000,0.000000000
,1.625000000,0.000000000,1.625000000,0.005178215,1.625000000,0.000000000,1.625000000,0.003456852,1.625000000,0.000000000,1.625000000,0.009920973,1.625000000,0.000000000
,1.640625000,0.000000000,1.640625000,0.005090479,1.640625000,0.000000000,1.640625000,0.003620935,1.640625000,0.000000000,1.640625000,0.009726874,1.640625000,0.000000000
,1.656250000,0.000000000,1.656250000,0.005010494,1.656250000,0.000000000,1.656250000,0.003593620,1.656250000,0.000000000,1.656250000,0.009558982,1.656250000,0.000000000
,1.671875000,0.000000000,1.671875000,0.004934280,1.671875000,0.000000000,1.671875000,0.003572555,1.671875000,0.000000000,1.671875000,0.009529314,1.671875000,0.000000000
,1.687500000,0.000000000,1.687500000,0.004830891,1.687500000,0.000000000,1.687500000,0.003495067,1.687500000,0.000000000,1.687500000,0.009482260,1.687500000,0.000000000
,1.703125000,0.000000000,1.703125000,0.004757995,1.703125000,0.000000000,1.703125000,0.003433201,1.703125000,0.000000000,1.703125000,0.009359493,1.703125000,0.000000000
,1.718750000,0.000000000,1.718750000,0.004630735,1.718750000,0.000000000,1.718750000,0.003442425,1.718750000,0.000000000,1.718750000,0.009235005,1.718750000,0.000000000
,1.734375000,0.000000000,1.734375000,0.004487587,1.734375000,0.000000000,1.734375000,0.003400614,1.734375000,0.000000000,1.734375000,0.009065991,1.734375000,0.000000000
