C:\Simcenter\Testxpress\ProjectData,20.01.26,12:57:22,,,,,,,,,,,,,,,,
,M1: CHRA_x : FFT(C1) Frequency[Hz],M1: CHRA_x : FFT(C1) [g],,M2: CHRA_y : FFT(C2) Frequency[Hz],M2: CHRA_y : FFT(C2) [g],,M3: CHRA_z : FFT(C3) Frequency[Hz],M3: CHRA_z : FFT(C3) [g],,M4: EG_Block_x : FFT(C13) Frequency[Hz],M4: EG_Block_x : FFT(C13) [g],,M5: EG_Block_y : FFT(C14) Frequency[Hz],M5: EG_Block_y : FFT(C14) [g],,M6: EG_Block_z : FFT(C15) Frequency[Hz],M6: EG_Block_z : FFT(C15) [g],
Unit,Hz,g,,Hz,g,,Hz,g,,Hz,g,,Hz,g,,Hz,g,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
PointDir,,'',,,'',,,'',,,'',,,'',,,'',
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,81.25,-0.2896456,-0.286443,81.25,0.5648754,-0.4942888,81.25,-1.3346782,1.3955897,81.25,-0.0463372,0.2394511,81.25,0.0312721,-0.3926508,81.25,-0.5008767,-0.0802264
,82.8125,-0.0974609,0.3930779,82.8125,0.0454215,-0.7324345,82.8125,-0.0052542,1.8862005,82.8125,0.243175,-0.0736966,82.8125,-0.3759282,0.166061,82.8125,-0.4028417,0.2642199
,84.375,0.455992,0.1613005,84.375,-0.0683599,-0.7313668,84.375,0.2256245,1.8996831,84.375,0.1875403,-0.2881768,84.375,0.1454022,0.5350702,84.375,-0.3664507,0.2952394
,85.9375,0.2149774,-0.4837516,85.9375,-0.0972212,-0.7241912,85.9375,0.2819348,1.9328767,85.9375,-0.426529,0.0781171,85.9375,0.657931,-0.1806448,85.9375,-0.368285,0.2886148
,87.5,-0.4202809,-0.3786641,87.5,-0.2609807,-0.6643197,87.5,0.7379894,1.8023177,87.5,-0.0279234,0.4761619,87.5,-0.0010167,-0.7435907,87.5,-0.3190493,0.3283492
,89.0625,0.5359923,-0.2452291,89.0625,-0.2042849,-0.6973779,89.0625,0.5776867,1.8813591,89.0625,-0.4531192,-0.2105187,89.0625,0.7318391,0.2981196,89.0625,-0.3708652,0.251425
,90.625,-0.323407,0.5343586,90.625,-0.1118307,-0.6981055,90.625,0.3067358,1.9028417,90.625,0.4880302,-0.1257336,90.625,-0.7929452,0.2020582,90.625,-0.4019469,0.1753714
,92.1875,0.2191412,-0.6125588,92.1875,0.0753588,-0.6820333,92.1875,-0.2116017,1.8984592,92.1875,0.0684477,-0.5259818,92.1875,0.3879549,-0.713928,92.1875,-0.4533813,0.039987
,93.75,-0.0845375,0.2119301,93.75,0.2842679,-0.5986825,93.75,-0.817346,1.6569785,93.75,-0.0103521,0.2155445,93.75,-0.0518234,-0.2499409,93.75,-0.4243661,-0.1516659
,95.3125,0.0733861,-0.0267219,95.3125,0.5903769,-0.2057893,95.3125,-1.7177068,0.5664186,95.3125,0.047374,0.0124601,95.3125,-0.1059022,0.1096694,95.3125,-0.1675813,-0.432942
